timestamp_utc,btc_gdelt_sentiment_mean,btc_gdelt_sentiment_std,btc_gdelt_news_volume,btc_gdelt_positive_ratio,btc_gdelt_negative_ratio,btc_gdelt_avg_confidence
2026-04-22 17:00:00+00:00,-0.3333333333333333,0.5773502691896258,3.0,0.0,0.3333333333333333,0.7527809143066406
2026-04-22 18:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9375922679901123
2026-04-22 20:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8518037796020508
2026-04-22 21:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9421725869178772
2026-04-22 23:00:00+00:00,0.0,0.6324555320336759,6.0,0.16666666666666666,0.16666666666666666,0.7042587796847025
2026-04-23 04:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.5443383455276489
2026-04-23 09:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.6098198294639587
2026-04-23 12:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9407047033309937
2026-04-23 14:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9373262524604797
2026-04-23 18:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9067791700363159
2026-04-23 19:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9528273344039917
2026-04-23 22:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.600016176700592
2026-04-24 00:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9528273344039917
2026-04-24 02:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.6469579339027405
2026-04-24 04:00:00+00:00,0.5,0.7071067811865476,2.0,0.5,0.0,0.8281584978103638
2026-04-24 05:00:00+00:00,-0.3333333333333333,1.1547005383792517,3.0,0.3333333333333333,0.6666666666666666,0.8345815936724345
2026-04-24 07:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.6848035454750061
2026-04-24 11:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9056510329246521
2026-04-24 18:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8172153830528259
2026-04-24 20:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.5532447099685669
2026-04-24 23:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.6043802499771118
2026-04-25 01:00:00+00:00,0.0,1.4142135623730951,2.0,0.5,0.5,0.7181790471076965
2026-04-25 03:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.658009946346283
