timestamp_utc,eth_gdelt_sentiment_mean,eth_gdelt_sentiment_std,eth_gdelt_news_volume,eth_gdelt_positive_ratio,eth_gdelt_negative_ratio,eth_gdelt_avg_confidence
2026-04-20 09:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.9039959907531738
2026-04-21 05:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9325087070465088
2026-04-21 10:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.6779152750968933
2026-04-21 12:00:00+00:00,0.0,1.4142135623730951,2.0,0.5,0.5,0.9049808979034424
2026-04-21 16:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9331009387969971
2026-04-21 18:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8994373679161072
2026-04-22 03:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.5897143483161926
2026-04-22 05:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8994373679161072
2026-04-22 13:00:00+00:00,1.0,0.0,2.0,1.0,0.0,0.5854948163032532
2026-04-22 19:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.9531964063644409
2026-04-22 20:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9059155583381653
2026-04-23 04:00:00+00:00,0.0,0.0,2.0,0.0,0.0,0.767687201499939
2026-04-23 09:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.7543462514877319
2026-04-23 12:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.43014755845069885
2026-04-23 19:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9373262524604797
2026-04-23 20:00:00+00:00,1.0,0.0,5.0,1.0,0.0,0.7783434867858887
2026-04-23 22:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9033920764923096
2026-04-24 04:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8474629521369934
2026-04-24 10:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.96126788854599
2026-04-24 13:00:00+00:00,-0.5,0.7071067811865476,2.0,0.0,0.5,0.7867255806922913
2026-04-24 18:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9044247269630432
2026-04-24 20:00:00+00:00,0.0,0.0,2.0,0.0,0.0,0.8529755473136902
2026-04-24 22:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8499128818511963
2026-04-25 09:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.44379886984825134
2026-04-26 01:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9074035286903381
2026-04-26 08:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8658912181854248
2026-04-26 10:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9098034501075745
2026-04-26 12:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.785895586013794
2026-04-26 17:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.785895586013794
2026-04-27 09:00:00+00:00,1.0,0.0,2.0,1.0,0.0,0.6991764605045319
2026-04-27 12:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.9518736004829407
2026-04-27 16:00:00+00:00,-1.0,0.0,2.0,0.0,1.0,0.8824437856674194
2026-04-27 20:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.7091123461723328
2026-04-27 22:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.6808621287345886
2026-04-28 02:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9155756831169128
2026-04-28 03:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.4950242042541504
2026-04-28 08:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.6513620018959045
2026-04-28 11:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.8592914938926697
2026-04-28 12:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.5186687707901001
2026-04-29 09:00:00+00:00,-0.5,0.7071067811865476,2.0,0.0,0.5,0.7520528435707092
2026-04-29 14:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8669084906578064
