timestamp_utc,gold_gdelt_sentiment_mean,gold_gdelt_sentiment_std,gold_gdelt_news_volume,gold_gdelt_positive_ratio,gold_gdelt_negative_ratio,gold_gdelt_avg_confidence
2026-04-10 10:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8311230540275574
2026-04-10 11:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9360184669494629
2026-04-10 13:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.9655413627624512
2026-04-10 17:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9255264401435852
2026-04-10 19:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9353562593460083
2026-04-11 05:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9224393367767334
2026-04-11 07:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.8764216899871826
2026-04-11 09:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.6158196330070496
2026-04-11 12:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.7019176483154297
2026-04-11 22:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.7663206458091736
2026-04-12 04:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9462108016014099
2026-04-13 11:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8862909078598022
2026-04-13 13:00:00+00:00,-0.7,0.48304589153964794,10.0,0.0,0.7,0.8856277942657471
2026-04-13 22:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8886657357215881
2026-04-14 00:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9193218946456909
2026-04-14 08:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9290559887886047
2026-04-14 10:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9418838620185852
2026-04-14 11:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9158281087875366
2026-04-14 14:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9076414108276367
2026-04-14 16:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9442850351333618
2026-04-15 00:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.933517336845398
2026-04-15 01:00:00+00:00,-0.5,0.7071067811865476,2.0,0.0,0.5,0.8485708832740784
2026-04-15 04:00:00+00:00,-0.3333333333333333,1.1547005383792517,3.0,0.3333333333333333,0.6666666666666666,0.6550194621086121
2026-04-15 08:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9017768502235413
2026-04-15 11:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9160205125808716
2026-04-15 13:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9405966997146606
2026-04-15 14:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9388507604598999
2026-04-15 18:00:00+00:00,0.75,0.5,4.0,0.75,0.0,0.7492448017001152
2026-04-15 19:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.7550620436668396
2026-04-15 20:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9198387265205383
2026-04-15 23:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.5594415664672852
2026-04-16 00:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8732784390449524
2026-04-16 03:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8348059058189392
2026-04-16 05:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.7103948593139648
2026-04-16 06:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.6200067400932312
2026-04-16 08:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.9574621915817261
2026-04-16 14:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.6049654483795166
2026-04-16 15:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.7505189180374146
2026-04-16 21:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.48365533351898193
2026-04-16 22:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.6516018509864807
2026-04-17 06:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.7001928091049194
2026-04-17 07:00:00+00:00,1.0,0.0,3.0,1.0,0.0,0.5975589553515116
2026-04-17 08:00:00+00:00,0.25,0.9574271077563381,4.0,0.5,0.25,0.7314221560955048
2026-04-17 14:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8925408124923706
2026-04-17 16:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.7838250994682312
2026-04-17 17:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.8784676790237427
2026-04-17 22:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.43040087819099426
2026-04-18 03:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9272658824920654
2026-04-18 05:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.927354097366333
2026-04-18 08:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.9211058020591736
2026-04-18 13:00:00+00:00,0.0,1.4142135623730951,2.0,0.5,0.5,0.8882111608982086
2026-04-18 20:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9238901138305664
2026-04-19 12:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8052580952644348
2026-04-19 16:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8200857639312744
2026-04-19 20:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.6111372709274292
2026-04-20 06:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8786954283714294
2026-04-20 07:00:00+00:00,-1.0,0.0,2.0,0.0,1.0,0.8455620408058167
2026-04-20 10:00:00+00:00,-0.5,0.7071067811865476,2.0,0.0,0.5,0.9381933808326721
2026-04-20 13:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.9410219788551331
2026-04-20 22:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.8906695246696472
2026-04-21 07:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9308579564094543
2026-04-21 08:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9333520531654358
2026-04-21 15:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9306346774101257
2026-04-21 18:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.6451349854469299
2026-04-22 10:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9007700085639954
2026-04-22 14:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.7570767998695374
2026-04-22 15:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.673492431640625
2026-04-23 01:00:00+00:00,-0.5,0.7071067811865476,2.0,0.0,0.5,0.9260076582431793
2026-04-23 02:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8412822484970093
2026-04-23 04:00:00+00:00,0.0,0.0,2.0,0.0,0.0,0.8412822484970093
2026-04-23 05:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8412822484970093
2026-04-23 06:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8412822484970093
2026-04-23 07:00:00+00:00,0.3333333333333333,1.1547005383792517,3.0,0.6666666666666666,0.3333333333333333,0.8954572478930155
2026-04-23 08:00:00+00:00,0.5,0.7071067811865476,2.0,0.5,0.0,0.6606813222169876
2026-04-23 10:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8412822484970093
2026-04-23 11:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.7254598140716553
2026-04-23 18:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.9685163497924805
2026-04-23 20:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.6352822780609131
