asset,model,FeatureSet,MAE,RMSE,R2,Corr,DirAcc,StdRatio,Note
BTC,Transformer,latest_export,0.00431791007,0.006187946084908732,-0.06788909307915536,0.02169513331209817,0.47,0.2569150619996768,computed from latest_predictions.csv
ETH,Transformer,latest_export,0.006259226035,0.009552319805938873,-0.3247909842459191,-0.026167108258396164,0.4915,0.5408649924228995,computed from latest_predictions.csv
GOLD,Transformer,latest_export,0.00438787209,0.007120116126164376,-0.6753323347903266,-0.030908500585871277,0.3775,0.7694988449764091,computed from latest_predictions.csv
OIL,Transformer,latest_export,0.00815824371,0.01468926640703621,-0.12148521413293989,-0.025357498285932353,0.39,0.3224781589601257,computed from latest_predictions.csv
BTC,Ridge,price_only_13_4h,0.003965030426494777,0.00576212136570022,0.000921763100303008,0.050491008637387466,0.5028966548308728,0.026638623760683,price-only Ridge baseline; ret_4h target
ETH,Ridge,price_only_13_4h,0.00506271260296996,0.0076183961077963885,0.0008199102014954107,0.03386008407124539,0.4946738927303308,0.028084236326598844,price-only Ridge baseline; ret_4h target
GOLD,Ridge,price_only_13_4h,0.0024399387038639216,0.004844532185239191,0.0001003286470283582,0.019500334033109867,0.3370253164556962,0.02981466205658074,price-only Ridge baseline; ret_4h target
OIL,Ridge,price_only_13_4h,0.005310440901235136,0.011581692037512964,-0.005456151795105502,0.01783588119288526,0.31038303260525485,0.05013957150918058,price-only Ridge baseline; ret_4h target
