run_at,asset,feature_set,target_horizon,target_mode,selection_metric,n_features,val_mae,val_corr,val_r2,val_sign_acc,val_zero_mae,val_mae_vs_zero,test_mae,test_corr,test_r2,test_sign_acc,test_zero_mae,test_mae_vs_zero,cal_test_mae,cal_test_corr,cal_test_r2
2026-05-04T09:01:01,BTC,no_gdelt,4,vol_norm,signal_score,26,0.003246513334349856,-0.009577058912041603,-0.021925087592449932,0.5230885692657078,0.003240216881674886,-0.19432194543080072,0.003950802274578952,0.024557920295961502,-0.0022246905610707746,0.5262062440870388,0.003961861154811753,0.27913345575567344,0.003950256315222649,0.024557920295961492,-0.0008129232572935408
2026-05-04T11:21:09,BTC,no_gdelt,4,vol_norm,signal_score,26,0.0034814633226623107,-0.035603588579984344,-0.2388545998747098,0.5104087812263437,0.003240216881674886,-7.4453791937947,0.004197197642100413,-0.003414998961158371,-0.0896263005692739,0.4900662251655629,0.003961861154811753,-5.940048682998162,0.004109838173050768,-0.0034149989611583884,-0.055289027239217026
2026-05-04T12:00:50,ETH,no_gdelt,4,vol_norm,signal_score,26,0.004803439460829797,-0.017837579504553565,-0.23414883443198176,0.5003785011355034,0.004361714556435848,-10.12732237635421,0.005796835919071463,-0.015189879144010552,-0.2111444535983915,0.5000946073793756,0.005059492846815365,-14.57345785451109,0.005548094120395303,-0.015189879144010576,-0.13549372135094018
2026-05-04T12:49:12,GOLD,no_gdelt,4,vol_norm,signal_score,26,0.0014578147092954472,0.055014981504946846,-0.08121610453660111,0.2923396769550616,0.0013272003642663625,-9.841342626510045,0.003029144174920403,0.01758399787413007,-0.38916932110715496,0.3356251998720819,0.0023884152368020607,-26.826529215653018,0.0029474412283599055,0.017583997874130078,-0.32327649045069196
2026-05-04T13:37:08,OIL,no_gdelt,4,vol_norm,signal_score,26,0.0016832055061559708,0.007693747977773895,-0.11221875682815452,0.3016,0.0015372501618601381,-9.494572739198656,0.006211045161929895,0.07152014230897595,-0.19076589685400203,0.3190978886756238,0.005133967925222122,-20.979430168172374,0.006047581765090949,0.07152014230897602,-0.14986043103373436
2026-05-04T14:46:20,BTC,no_gdelt,4,vol_norm,signal_score,26,0.0034814633226623107,-0.035603588579984344,-0.2388545998747098,0.5104087812263437,0.003240216881674886,-7.4453791937947,0.004197197642100413,-0.003414998961158371,-0.0896263005692739,0.4900662251655629,0.003961861154811753,-5.940048682998162,0.004109838173050768,-0.0034149989611583884,-0.055289027239217026
2026-05-04T14:46:58,ETH,no_gdelt,4,vol_norm,signal_score,26,0.004803439460829797,-0.017837579504553565,-0.23414883443198176,0.5003785011355034,0.004361714556435848,-10.12732237635421,0.005796835919071463,-0.015189879144010552,-0.2111444535983915,0.5000946073793756,0.005059492846815365,-14.57345785451109,0.005548094120395303,-0.015189879144010576,-0.13549372135094018
2026-05-04T14:47:39,GOLD,no_gdelt,4,vol_norm,signal_score,26,0.0014578147092954472,0.055014981504946846,-0.08121610453660111,0.2923396769550616,0.0013272003642663625,-9.841342626510045,0.003029144174920403,0.01758399787413007,-0.38916932110715496,0.3356251998720819,0.0023884152368020607,-26.826529215653018,0.0029474412283599055,0.017583997874130078,-0.32327649045069196
2026-05-04T14:48:19,OIL,no_gdelt,4,vol_norm,signal_score,26,0.0016832055061559708,0.007693747977773895,-0.11221875682815452,0.3016,0.0015372501618601381,-9.494572739198656,0.006211045161929895,0.07152014230897595,-0.19076589685400203,0.3190978886756238,0.005133967925222122,-20.979430168172374,0.006047581765090949,0.07152014230897602,-0.14986043103373436
2026-05-04T16:02:19,BTC,technical_macro,4,vol_norm,signal_score,26,0.0034616437296769377,0.009523387591085128,-0.20129190333426195,0.5228993186979561,0.003240216881674886,-6.833704324566403,0.004153021457744846,-0.000328114164660091,-0.07240494202612502,0.49120151371807,0.003961861154811753,-4.825012554413033,0.004088573116512964,-0.0003281141646600959,-0.04727934875817552
