asset,timestamp_utc,open,high,low,close,price,ohlc_source,action,action_name,direction,size_label,risk_profile,position_fraction,leverage_used,effective_position,margin_used,cash_balance,cash,desired_position,executed_position,previous_position,portfolio_value,previous_portfolio_value,portfolio_return,drawdown,in_position,trade_side,trade_id,entry_price,tp_price,sl_price,risk_reward_ratio,entry_time_utc,holding_bars,exit_reason,unrealized_pnl,realized_pnl,step_return,reward_total,transaction_cost,turnover,stop_loss_triggered,take_profit_triggered,max_hold_triggered,max_drawdown_triggered,max_favorable_excursion,max_adverse_excursion,predicted_log_return,signal_strength,reward_pnl,reward_transaction_cost,reward_drawdown_penalty,reward_overtrading_penalty,reward_missed_opportunity_penalty,reward_wrong_side_penalty,reward_tp_bonus,reward_sl_penalty,reward
GOLD,2026-01-30 05:45:00+00:00,5212.39990234375,5212.39990234375,5212.39990234375,5212.39990234375,5212.39990234375,reconstructed,"[3,2,0]",SHORT_LARGE_CONSERVATIVE,SHORT,LARGE,CONSERVATIVE,-1.0,1.0,-1.0,10000.0,0.0,0.0,-1.0,-1.0,0.0,9990.0,10000.0,-0.001,0.001,True,-1,1,5212.39990234375,5169.82727432251,5240.78165435791,1.5,2026-01-30 05:45:00+00:00,1,,-0.0,0.0,0.0,-0.021,0.001,1.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.02,0.0,0.0,0.0,0.0,-0.021
GOLD,2026-01-30 06:00:00+00:00,5210.7001953125,5232.7001953125,5171.39990234375,5183.89990234375,5183.89990234375,raw,"[3,2,0]",SHORT_LARGE_CONSERVATIVE,SHORT,LARGE,CONSERVATIVE,-1.0,1.0,-1.0,10000.0,44.677308982345494,44.677308982345494,-1.0,-1.0,-1.0,10044.677308982345,9990.0,0.005473204102336886,0.0,True,-1,1,5212.39990234375,5169.82727432251,5240.78165435791,1.5,2026-01-30 05:45:00+00:00,2,,0.005467730898234613,0.0,0.005467730898234613,0.005467730898234613,0.0,0.0,False,False,False,False,0.005467730898234613,0.0,0.0,0.0,0.005467730898234613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005467730898234613
GOLD,2026-01-30 06:15:00+00:00,5183.89990234375,5183.89990234375,5183.89990234375,5183.89990234375,5183.89990234375,reconstructed,"[3,2,0]",SHORT_LARGE_CONSERVATIVE,SHORT,LARGE,CONSERVATIVE,-1.0,1.0,-1.0,10000.0,44.677308982345494,44.677308982345494,-1.0,-1.0,-1.0,10044.677308982345,10044.677308982345,0.0,0.0,True,-1,1,5212.39990234375,5169.82727432251,5212.39990234375,1.5,2026-01-30 05:45:00+00:00,3,,0.005467730898234613,0.0,-0.0,0.0,0.0,0.0,False,False,False,False,0.005467730898234613,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOLD,2026-01-30 06:30:00+00:00,5183.89990234375,5183.89990234375,5183.89990234375,5183.89990234375,5183.89990234375,reconstructed,"[3,2,0]",SHORT_LARGE_CONSERVATIVE,SHORT,LARGE,CONSERVATIVE,-1.0,1.0,-1.0,10000.0,44.677308982345494,44.677308982345494,-1.0,-1.0,-1.0,10044.677308982345,10044.677308982345,0.0,0.0,True,-1,1,5212.39990234375,5169.82727432251,5212.39990234375,1.5,2026-01-30 05:45:00+00:00,4,,0.005467730898234613,0.0,-0.0,0.0,0.0,0.0,False,False,False,False,0.005467730898234613,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOLD,2026-01-30 06:45:00+00:00,5183.89990234375,5183.89990234375,5183.89990234375,5183.89990234375,5183.89990234375,reconstructed,"[3,2,0]",SHORT_LARGE_CONSERVATIVE,SHORT,LARGE,CONSERVATIVE,-1.0,1.0,-1.0,10000.0,44.677308982345494,44.677308982345494,-1.0,-1.0,-1.0,10044.677308982345,10044.677308982345,0.0,0.0,True,-1,1,5212.39990234375,5169.82727432251,5212.39990234375,1.5,2026-01-30 05:45:00+00:00,5,,0.005467730898234613,0.0,-0.0,0.0,0.0,0.0,False,False,False,False,0.005467730898234613,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOLD,2026-01-30 07:00:00+00:00,5184.10009765625,5215.0,5143.7001953125,5209.2001953125,5209.2001953125,raw,"[1,2,0]",FLAT,FLAT,LARGE,,0.0,1.0,0.0,0.0,9985.827111803446,9985.827111803446,0.0,0.0,-1.0,9985.827111803446,10044.677308982345,-0.00585884397961426,0.00585884397961426,False,0,1,,,,0.0,,0,SL,0.0,0.0006138644561426024,-0.004880551986991726,-0.03012457958634131,0.001,1.0,True,False,False,False,0.0,0.0,0.0,0.0,-0.004880551986991726,0.001,0.0,0.02,0.0,0.0002440275993495863,0.0,0.005,-0.03012457958634131
GOLD,2026-01-30 07:15:00+00:00,5209.2001953125,5209.2001953125,5209.2001953125,5209.2001953125,5209.2001953125,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,9985.827111803446,9985.827111803446,0.0,0.0,0.0,9985.827111803446,9985.827111803446,0.0,0.00585884397961426,False,0,1,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOLD,2026-01-30 07:30:00+00:00,5209.2001953125,5209.2001953125,5209.2001953125,5209.2001953125,5209.2001953125,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,9985.827111803446,9985.827111803446,0.0,0.0,0.0,9985.827111803446,9985.827111803446,0.0,0.00585884397961426,False,0,1,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOLD,2026-01-30 07:45:00+00:00,5209.2001953125,5209.2001953125,5209.2001953125,5209.2001953125,5209.2001953125,reconstructed,"[3,2,0]",SHORT_LARGE_CONSERVATIVE,SHORT,LARGE,CONSERVATIVE,-1.0,1.0,-1.0,10000.0,0.0,0.0,-1.0,-1.0,0.0,9975.841284691644,9985.827111803446,-0.0009999999999999343,0.006852985135634581,True,-1,2,5209.2001953125,5166.62756729126,5237.58194732666,1.5,2026-01-30 07:45:00+00:00,1,,-0.0,0.0,0.0,-0.021,0.001,1.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.02,0.0,0.0,0.0,0.0,-0.021
GOLD,2026-01-30 08:00:00+00:00,5208.7998046875,5208.7998046875,5075.10009765625,5145.0,5145.0,raw,"[1,2,0]",FLAT,FLAT,LARGE,,0.0,1.0,0.0,0.0,10089.10930600657,10089.10930600657,0.0,0.0,-1.0,10089.10930600657,9975.841284691644,0.011354232498540407,0.0,False,0,2,,,,0.0,,0,TP,0.0,0.012324386259961857,0.012324386259961857,-0.005675613740038144,0.001,1.0,False,True,False,False,0.0,0.0,0.0,0.0,0.012324386259961857,0.001,0.0,0.02,0.0,0.0,0.002,0.0,-0.005675613740038144
